5.16,9.07,9.45,3.36
9.09,1.44,5.85,4.91
1.39,1.43,6.04,1.11
5.24,0.08,6.42,1.19
2.12,1.45,6.70,1.09
1.82,8.53,7.58,2.70
8.20,1.50,2.79,2.06
1.69,3.27,8.32,1.32
3.43,1.41,2.81,8.42
1.11,3.26,11.62,1.18
3.98,1.48,8.19,1.12
1.04,2.66,2.85,1.09
1.75,7.65,14.04,1.14
11.08,2.72,2.87,1.14
1.21,1.45,4.64,1.06
1.15,2.73,2.65,1.17
1.11,1.50,5.01,2.14
4.99,1.42,3.31,1.16
1.13,3.19,2.77,1.06
2.67,5.47,17.57,1.55
3.44,1.44,2.56,1.18
1.10,1.43,7.47,1.10
2.82,1.44,2.57,1.08
3.20,1.43,5.31,3.54
1.71,9.58,12.88,1.81
14.04,5.87,5.04,12.11
1.69,1.30,8.01,1.10
1.68,1.26,3.00,1.11
2.14,1.93,2.83,1.10
1.70,2.85,2.98,3.23
17.50,8.58,45.96,1.31
1.69,3.51,17.06,1.07
8.14,8.01,3.30,1.10
1.62,1.73,3.09,1.08
6.66,2.91,7.18,1.11
1.84,7.32,7.31,1.76
5.73,5.84,8.45,1.12
3.05,2.51,9.52,3.04
1.92,1.91,5.42,1.20
2.44,2.80,5.24,1.04
2.97,4.18,4.24,8.50
15.89,5.79,2.34,8.42
2.48,1.17,3.33,1.48
2.05,1.18,2.31,8.14
4.45,8.01,2.78,2.55
4.78,4.09,3.09,1.05
6.68,3.09,4.42,3.23
3.90,43.57,3.68,10.07
20.54,1.44,12.64,7.23
7.29,2.68,6.15,1.09
2.56,1.74,3.17,1.11
8.26,5.47,2.91,8.22
18.25,12.91,3.73,1.06
7.75,1.75,2.27,1.57
1.72,1.75,3.16,1.87
1.70,1.66,4.18,2.52
1.69,5.46,3.62,1.02
16.72,1.72,4.32,2.19
1.68,3.51,12.98,10.16
1.68,1.73,11.62,1.10
1.77,1.72,5.23,3.87
1.45,1.75,2.86,3.13
1.44,1.83,2.87,0.06
1.13,8.26,3.70,29.30
1.52,1.65,3.12,1.16
3.65,2.84,6.38,1.11
1.14,2.94,2.94,2.29
0.94,5.77,5.94,1.11
4.34,3.52,6.40,1.10
2.75,1.92,8.61,6.01
3.42,1.74,4.37,1.11
5.79,1.82,4.34,34.04
3.68,2.99,2.86,1.28
1.42,1.92,4.89,26.14
1.12,4.73,3.07,1.10
1.76,3.87,2.85,8.38
1.12,1.72,11.78,10.74
1.10,2.74,8.22,1.07
1.09,6.48,9.07,40.86
6.42,4.18,8.85,41.61
1.69,1.71,21.33,30.04
1.53,2.45,6.18,20.13
1.24,8.13,7.98,1.08
2.75,2.29,4.31,4.64
1.12,12.58,4.46,NaN
1.32,5.81,6.67,NaN
1.12,3.64,5.42,253.48
5.33,2.06,5.00,14.92
1.29,3.26,3.81,18.73
10.83,1.72,12.55,12.49
1.67,12.77,9.72,1.12
1.25,1.72,2.95,1.79
11.89,6.90,10.03,5.30
8.35,1.76,2.89,12.37
1.98,10.69,5.87,28.57
5.01,8.00,3.56,3.43
1.16,1.72,60.69,61.82
7.23,2.86,15.41,15.50
1.27,1.97,10.81,2.40
1.13,100.82,5.02,NaN
2.22,1.75,6.00,NaN
1.14,3.29,20.04,6.80
1.36,1.90,3.19,10.58
2.13,15.29,9.86,34.16
1.29,1.28,3.05,4.07
5.25,0.73,2.40,33.19
1.18,2.67,18.92,4.61
1.17,1.42,3.00,1.78
1.32,1.18,7.41,1.94
1.81,1.16,2.38,1.71
8.36,1.27,2.39,1.94
14.07,1.21,10.96,59.40
4.92,1.11,14.28,97.39
5.16,1.30,7.37,4.95
1.12,1.19,8.15,NaN
3.66,1.25,22.54,1.74
1.15,1.14,3.91,28.05
1.13,1.52,5.44,2.40
1.16,4.54,4.08,NaN
1.27,24.36,2.36,NaN
3.96,1.28,2.56,NaN
1.24,8.18,5.53,NaN
3.03,1.18,4.34,NaN
1.14,1.31,3.41,NaN
1.63,3.51,17.38,NaN
79.81,1.89,13.78,NaN
7.59,1.52,2.65,NaN
44.66,1.16,9.13,NaN
16.52,2.26,9.10,NaN
1.21,8.21,3.35,NaN
1.12,5.37,2.34,NaN
3.19,2.90,7.37,136.13
5.61,1.19,5.60,NaN
1.98,1.18,16.39,NaN
1.07,1.65,3.52,NaN
4.26,1.16,13.21,NaN
21.06,1.29,12.44,NaN
78.69,3.48,2.37,NaN
183.48,1.19,5.51,NaN
412.94,1.12,2.46,NaN
326.95,3.03,12.39,NaN
147.97,1.89,8.50,NaN
270.57,1.15,307.20,NaN
69.21,1.18,117.88,NaN
368.97,3.35,44.08,NaN
