16.55,6.93,5.58,0.08
2.30,1.25,2.76,2.19
1.27,2.43,5.93,24.26
1.62,3.60,3.50,1.08
1.66,10.35,9.08,1.13
1.70,3.62,5.15,1.47
1.40,4.44,2.39,1.08
5.26,4.38,3.92,45.63
1.72,11.67,8.28,1.95
1.82,11.57,12.10,1.09
1.76,27.06,3.75,1.89
4.59,1.78,4.00,8.36
2.18,2.49,4.26,2.02
2.29,1.86,5.18,4.68
2.36,1.84,5.37,1.35
1.98,1.02,15.32,1.08
1.26,1.26,5.80,1.47
1.16,4.96,5.89,1.76
1.36,3.44,3.37,2.03
1.17,3.80,2.42,0.76
1.18,3.94,7.02,0.95
1.72,4.17,2.43,4.73
1.19,3.80,5.65,29.23
1.30,3.77,3.42,3.46
6.12,3.67,2.61,2.28
2.40,3.73,8.35,1.11
5.58,2.19,3.33,1.17
1.16,0.74,3.54,1.14
1.27,1.22,4.12,1.10
1.15,1.34,4.37,8.22
1.24,2.71,7.18,1.03
1.12,3.21,18.30,1.13
23.40,11.86,27.98,15.05
10.77,67.91,73.79,10.50
5.13,3.55,6.20,3.20
2.18,3.84,5.18,1.09
5.64,3.81,3.53,6.89
1.71,4.22,7.06,1.10
1.62,4.76,5.17,1.16
2.13,1.28,3.80,8.48
1.70,3.83,3.71,3.99
1.64,4.29,12.95,1.12
1.99,4.07,4.67,2.69
3.45,4.17,6.70,2.25
1.70,4.60,3.67,1.47
3.28,13.57,14.55,1.37
21.55,8.20,11.47,1.15
1.16,11.07,6.20,1.13
2.26,1.94,5.73,1.35
2.67,1.76,6.53,2.02
1.12,2.50,8.30,4.25
1.13,3.78,4.26,2.66
1.17,1.35,4.69,1.11
11.03,1.23,12.69,1.83
1.82,2.71,5.47,1.64
2.17,1.22,2.56,2.02
1.79,8.70,5.83,3.97
1.87,3.06,3.97,1.13
5.56,1.23,2.59,3.08
1.72,1.56,2.39,1.15
1.35,1.75,3.49,1.15
9.46,1.25,2.49,8.62
2.53,2.35,18.97,1.12
1.89,2.51,9.70,1.12
1.13,1.76,16.07,1.20
4.92,5.22,77.66,4.72
5.55,31.11,NaN,25.33
74.75,34.69,NaN,1.13
3.97,3.23,4.68,8.48
10.80,11.16,14.03,25.44
1.83,4.76,3.08,2.10
1.82,2.12,2.80,21.90
2.92,8.13,2.44,5.47
146.75,16.67,6.82,101.71
2.88,31.78,133.95,374.92
1.14,3.31,25.05,66.68
1.16,1.66,2.47,1.27
56.67,36.52,4.78,5.97
7.21,2.62,10.75,19.28
1.95,1.66,5.59,3.82
3.61,3.88,2.92,8.19
1.12,1.61,3.19,1.70
1.13,1.78,2.35,1.72
1.41,4.21,1.89,1.68
1.14,1.68,11.53,2.56
1.12,2.83,2.44,16.06
1.21,26.62,10.68,1.73
28.16,4.01,2.36,2.06
1.19,2.64,2.37,18.40
3.94,2.45,8.24,7.47
5.65,1.16,17.84,1.79
0.82,3.33,13.42,1.73
1.16,8.97,4.52,3.25
8.35,1.97,5.39,1.67
1.17,1.16,109.89,58.18
1.10,1.43,3.63,7.38
1.14,3.16,13.72,2.00
1.79,2.03,30.86,3.96
3.41,1.59,4.23,2.74
2.00,10.83,106.97,3.52
2.94,1.74,18.07,1.93
8.40,1.18,9.33,3.03
1.12,2.25,81.49,1.76
1.78,3.73,41.25,29.06
1.94,70.92,35.18,35.26
206.53,10.30,12.35,3.22
166.49,1.19,6.15,4.25
273.83,1.90,437.41,1.82
1.10,1.85,5.35,1.82
3.20,4.12,109.91,227.42
16.89,5.80,50.12,2.42
11.27,1.19,3.26,59.19
5.56,3.19,3.18,38.58
2.13,1.60,3.15,1.85
81.16,1.90,137.28,11.85
10.96,4.44,4.18,8.06
3.97,4.03,NaN,61.31
165.90,1.48,NaN,NaN
250.22,1.17,NaN,749.74
292.82,295.14,NaN,NaN
124.86,2.28,NaN,NaN
268.00,2.11,87.59,242.39
158.24,327.75,NaN,128.63
12.14,226.73,8.60,202.43
1.22,1.61,6.74,3.52
74.77,101.16,717.09,NaN
2.54,83.87,818.70,963.72
3.26,1.70,NaN,60.69
1.15,130.78,NaN,NaN
1.15,255.59,NaN,NaN
1.98,126.53,NaN,NaN
4.27,682.46,NaN,NaN
1.13,124.27,NaN,NaN
10.06,310.31,NaN,NaN
5.60,231.60,NaN,NaN
2.40,484.46,NaN,NaN
2.72,178.63,NaN,NaN
12.33,208.13,NaN,NaN
1.46,120.32,NaN,NaN
19.56,491.90,NaN,NaN
6.97,255.48,NaN,NaN
1.17,194.77,NaN,NaN
7.94,399.35,NaN,NaN
1.12,292.36,NaN,NaN
2.48,367.21,NaN,NaN
5.11,126.34,NaN,NaN
1.12,41.72,NaN,NaN
7.63,6.84,NaN,0.02
1.09,1.33,2.41,73.49
2.91,2.08,31.94,78.37
1.15,3.00,6.10,NaN
0.88,1.18,4.61,19.96
2.20,2.42,3.96,NaN
1.08,5.82,8.28,550.48
9.01,1.12,5.89,316.99
8.48,267.49,274.01,NaN
2.39,1.89,11.47,135.07
3.48,1.20,4.18,NaN
1.16,7.28,5.82,NaN
2.22,2.42,6.26,163.63
1.24,3.83,6.18,NaN
1.20,2.54,8.75,170.01
1.19,1.88,5.14,NaN
2.59,1.19,5.03,39.85
1.79,5.79,2.35,52.86
1.94,1.42,7.33,NaN
5.74,1.23,4.96,179.04
4.52,1.29,6.99,40.41
1.14,8.10,45.88,51.95
1.14,3.75,2.40,NaN
1.81,1.86,2.94,NaN
1.66,1.25,5.86,NaN
1.18,1.17,8.14,933.32
